"","VLFR_name","VLFR_fac","def_r","def_sd","def_se","income"
"1","Kiegei A",FALSE,12.5689208474462,0.331498866748242,0.000259437554350802,"None"
"2","Kiegei A",TRUE,0.614657210401891,0.0781606077305409,0.000537443409558528,"None"
"3","Kiegei B",FALSE,2.41902421942394,0.153639484435947,0.000129618363414937,"Low"
"4","Kiegei B",TRUE,0.541289145933504,0.0733731443955147,0.000162028085699233,"Low"
"5","Kitogoro",FALSE,12.9260751141925,0.335488384198524,0.000215814705017888,"Medium"
"6","Kitogoro",TRUE,0.226124896649965,0.0474990336134997,0.000149915326834725,"Medium"
"7","Luwele A",FALSE,10.6253924858705,0.308162379357026,0.00015407841629198,"High"
"8","Luwele A",TRUE,2.03162294512489,0.141080485221393,0.000472269171814426,"High"
"9","Mahonga",FALSE,8.1218014620265,0.273170409402604,0.000651038999241221,"Medium"
"10","Mahonga",TRUE,1.61388365448909,0.126011337230282,0.000694701875425371,"Medium"
"11","Matekwe",FALSE,5.39034193280139,0.225827573922184,0.000502424936912146,"None"
"12","Matekwe",TRUE,0.33287419651056,0.057602450476393,0.000617137626436663,"None"
"13","Mbondo",FALSE,29.582632375279,0.456413649264911,0.00055615430697082,"Medium"
"14","Mbondo",TRUE,0.862142069706306,0.0924517896489839,0.000491535423600933,"Medium"
"15","Mtawatawa",FALSE,10.4026302848527,0.305294786924026,0.000275243152912358,"High"
"16","Mtawatawa",TRUE,0.253409754285411,0.0502761639408971,0.000129491754779532,"High"
"17","Nahoro",FALSE,8.39595823931298,0.277327585658658,0.000467813808388626,"High"
"18","Nahoro",TRUE,0.037287547693375,0.0193064671297727,5.68526212511212e-05,"High"
"19","Namatunu",FALSE,5.46098864915912,0.227217236162793,0.000160064022091565,"Low"
"20","Namatunu",TRUE,0.398440815428383,0.0629965382704986,0.000176601592540024,"Low"
"21","Ngumbu",FALSE,6.94783199511994,0.254265835438188,0.00017906177953725,"None"
"22","Ngumbu",TRUE,11.263689553433,0.316149213387157,0.000706984157967159,"None"
"23","Ngunichile",FALSE,25.0341701643508,0.433209951405536,0.000357680089395449,"Low"
"24","Ngunichile",TRUE,0.6467363371595,0.0801611614284271,0.000524613133261359,"Low"
